"Nome.Carros","Quilometragem","Avaliação","Reviews","Certificado","preço.drop","preço"
"172","2019 Land Rover Range Rover Velar P250 S","24,848 mi.",4.8,"(4,891 reviews)","Used","$2,184 price drop","$47,520"
"173","2021 GMC Yukon Denali","13,320 mi.",4.5,"(1,070 reviews)","Used","$1,000 price drop","$84,994"
"174","2020 Mercedes-Benz CLA 250 Base 4MATIC","12,623 mi.",4.8,"(409 reviews)","Used","$200 price drop","$38,500"
"175","2017 Dodge Challenger R/T","13,829 mi.",4.2,"(5 reviews)","Used","$739 price drop","$35,899"
"176","2018 BMW X1 xDrive28i","42,056 mi.",4.5,"(1,439 reviews)","Used","$1,800 price drop","$21,991"
"177","2019 BMW 330 i xDrive","Mileage",4.3,"(1,341 reviews)","Used","$1,500 price drop","$35,880"
"178","2019 Alfa Romeo Stelvio Ti","31,620 mi.",4.9,"(4,427 reviews)","Used","$699 price drop","$38,490"
"179","2021 GMC Yukon Denali","12,387 mi.",4.4,"(694 reviews)","Used","$500 price drop","$78,395"
"180","2014 Volvo S60 T5","45,141 mi.",4.2,"(9,083 reviews)","Used","$1,700 price drop","$17,590"
"181","2021 Mazda CX-5 Grand Touring","60,439 mi.",4.8,"(1,491 reviews)","Used","$398 price drop","$32,289"
"182","2020 Porsche Macan S","14,880 mi.",5,"(3 reviews)","Used","$500 price drop","$67,180"
"183","2015 Audi S4 3.0T Premium Plus","15,834 mi.",3.2,"(38 reviews)","Used","$2,509 price drop","$25,999"
"184","2003 Toyota Highlander V6 (A4)","62,600 mi.",4.8,"(77 reviews)","Used","$400 price drop","$7,000"
"185","2018 Toyota 4Runner Limited","145,276 mi.",2,"(13 reviews)","Used","$1,408 price drop","$39,599"
"186","2020 Acura TLX V6 w/Technology Package","58,843 mi.",4.7,"(1,210 reviews)","Used","$800 price drop","$35,888"
"187","2019 Lexus IS 300 IS 300 F SPORT","24,989 mi.",5,"(3 reviews)","Used","$1,125 price drop","$38,998"
"188","2019 Mercedes-Benz GLA 250 Base 4MATIC","17,150 mi.",4.5,"(1,227 reviews)","Used","$2,185 price drop","$36,000"
"189","2020 Ford F-150 Lariat","16,748 mi.",4.8,"(615 reviews)","Used","$450 price drop","$53,997"
"190","2020 Mercedes-Benz GLE 450 AWD 4MATIC","20,518 mi.",4.7,"(3,487 reviews)","Used","$2,120 price drop","$64,991"
"191","2019 Jeep Grand Cherokee Limited","15,430 mi.",4.5,"(513 reviews)","Used","$1,403 price drop","$39,591"
"192","2019 Jeep Grand Cherokee Limited","37,637 mi.",4.2,"(342 reviews)","Used","$12,718 price drop","$31,996"
"193","2012 Ford Focus SEL","15,823 mi.",4.2,"(63 reviews)","Used","$1,500 price drop","$5,499"
"194","2021 Toyota Avalon TRD","135,809 mi.",4.7,"(787 reviews)","Used","$500 price drop","$43,800"
"195","2019 Ford F-450 Platinum","19,999 mi.",4.8,"(1,240 reviews)","Used","$1,000 price drop","$95,977"
"196","2020 Acura MDX 3.5L","19,526 mi.",5,"(5 reviews)","Used","$158 price drop","$37,994"
"197","2017 Mercedes-Benz C-Class C 300","20,803 mi.",4.8,"(1,174 reviews)","Used","$198 price drop","$30,999"
"198","2017 Dodge Durango R/T","14,021 mi.",4.6,"(663 reviews)","Used","$3,828 price drop","$37,995"
"199","2018 Porsche Panamera Turbo","43,915 mi.",4.7,"(1,124 reviews)","Used","$500 price drop","$109,995"
"200","2018 Jeep Grand Cherokee Limited","24,322 mi.",4.6,"(128 reviews)","Used","$2,000 price drop","$34,541"
"201","2020 Acura MDX 3.5L w/Technology Package","33,522 mi.",4.7,"(742 reviews)","Used","$864 price drop","$44,995"
"202","2021 Mercedes-Benz GLE 350 Base 4MATIC","16,720 mi.",4.7,"(1,680 reviews)","Used","$1,529 price drop","$63,878"
"203","2017 Audi Q7 3.0T Premium Plus","13,564 mi.",4.8,"(4,891 reviews)","Used","$287 price drop","$33,895"
"204","2019 Volvo XC60 T5 Momentum","63,598 mi.",3.4,"(484 reviews)","Used","$400 price drop","$43,962"
"205","2021 BMW M340 i xDrive","15,638 mi.",4.7,"(1,680 reviews)","Used","$1,875 price drop","$56,990"
"206","2020 Tesla Model Y Long Range","16,317 mi.",4.4,"(13 reviews)","Used","$245 price drop","$65,995"
"207","2019 Volvo XC60 T5 Momentum","9,561 mi.",4.5,"(965 reviews)","Used","$300 price drop","$42,962"
"208","2015 Land Rover Range Rover 3.0L Supercharged HSE","33,921 mi.",2.8,"(259 reviews)","Used","$1,500 price drop","$45,995"
"209","2017 Audi Q7 3.0T Premium Plus","55,108 mi.",3.7,"(3 reviews)","Used","$900 price drop","$41,595"
"210","2020 Tesla Model Y Long Range","21,907 mi.",4.4,"(1,384 reviews)","Used","$400 price drop","$65,781"
"211","2019 BMW M5 Competition","15,614 mi.",4.7,"(996 reviews)","Used","$2,001 price drop","$64,950"
"212","2019 Honda CR-V EX-L","18,335 mi.",4.5,"(348 reviews)","Used","$540 price drop","$28,499"
"213","2019 BMW X5 xDrive40i","47,758 mi.",4.5,"(665 reviews)","Used","$999 price drop","$54,995"
"214","2019 Acura RDX Technology Package","22,037 mi.",2.3,"(15 reviews)","Used","$500 price drop","$37,959"
"215","2020 Ford Edge Titanium","49,576 mi.",4.7,"(284 reviews)","Used","$1,000 price drop","$35,292"
"216","2021 Ford Expedition Limited","18,610 mi.",4.8,"(860 reviews)","Used","$1,000 price drop","$69,495"
"217","2020 GMC Acadia SLE","12,482 mi.",4.7,"(1,661 reviews)","Used","$1,000 price drop","$30,990"
"218","2019 Volkswagen Golf GTI 2.0T Rabbit Edition 4-Door","47,004 mi.",4.3,"(6 reviews)","Used","$200 price drop","$31,999"
"219","2021 BMW 530 i xDrive","22,700 mi.",3.7,"(3 reviews)","Used","$2,659 price drop","$53,995"
"220","2020 Nissan Murano SL","10,335 mi.",4.7,"(1,221 reviews)","Used","$400 price drop","$34,000"
"221","2020 Honda Accord EX-L","39,277 mi.",4.9,"(131 reviews)","Used","$500 price drop","$27,995"
"222","2019 BMW 530 i xDrive","14,369 mi.",2.4,"(13 reviews)","Used","$764 price drop","$32,750"
"223","2018 GMC Sierra 2500 Denali","45,670 mi.",3.9,"(147 reviews)","Used","$400 price drop","$63,997"
"224","2021 Toyota Highlander Platinum","38,420 mi.",4.7,"(881 reviews)","Used","$550 price drop","$48,741"
"225","2021 Toyota Camry SE","64,404 mi.",4.5,"(92 reviews)","Used","$500 price drop","$31,998"
"226","2014 Mercedes-Benz E-Class E 350 4MATIC","Mileage",4.8,"(6 reviews)","Used","$600 price drop","$20,985"
"227","2018 Ford Escape SE","94,998 mi.",4.3,"(6 reviews)","Used","$499 price drop","$18,995"
"228","2019 Nissan Rogue SV","37,229 mi.",4.6,"(42 reviews)","Used","$1,510 price drop","$22,997"
"229","2017 Chevrolet Malibu 1LT","46,491 mi.",3.6,"(133 reviews)","Used","$595 price drop","$14,995"
"230","2008 Honda Accord EX","61,303 mi.",3.5,"(19 reviews)","Used","$500 price drop","$4,999"
"231","2010 Lexus ES 350 ","200,000 mi.",3.8,"(164 reviews)","Used","$500 price drop","$11,981"
"232","2021 Honda Pilot Special Edition","132,179 mi.",4,"(72 reviews)","Used","$1,000 price drop","$41,987"
"233","2019 Honda CR-V EX-L","14,060 mi.",4.7,"(3,052 reviews)","Used","$1,000 price drop","$32,992"
"234","2018 BMW X3 xDrive30i","24,370 mi.",4.8,"(1,662 reviews)","Used","$1,055 price drop","$39,995"
"235","2014 Lexus IS 250 Base","15,479 mi.",4,"(60 reviews)","Used","$494 price drop","$22,444"
